red,nodo,nombre,cb_unweighted,cb_weighted,rank_unweighted,rank_weighted
cyl,Adrada (La),Adrada (La),0.015684926029814972,0.0,70,87
cyl,Alberca (La),Alberca (La),0.017624381457650457,0.018965161822304677,66,73
cyl,Aldeadávila de la Ribera,Aldeadávila de la Ribera,0.00041056826771112485,0.013399299113584827,92,80
cyl,Almazán,Almazán,0.02061430632859204,0.027210884353741496,59,66
cyl,Aranda de Duero,Aranda de Duero,0.014611622111462696,0.10760667903525045,73,21
cyl,Arcos de Jalón,Arcos de Jalón,0.0,0.0,93,87
cyl,Arévalo,Arévalo,0.10822786570944716,0.03071531642960214,15,63
cyl,Barco de Ávila (El),Barco de Ávila (El),0.016879030978465215,0.02514945372088229,67,68
cyl,Barruelo de Santullán,Barruelo de Santullán,0.0,0.0,93,87
cyl,Bañeza (La),Bañeza (La),0.016617353323925936,0.12306740878169449,69,16
cyl,Belorado,Belorado,0.044987738957216326,0.013605442176870748,40,79
cyl,Benavente,Benavente,0.06883939469120805,0.13378684807256236,32,11
cyl,Berlanga de Duero,Berlanga de Duero,0.03174995112339221,0.045351473922902494,46,51
cyl,Bermillo de Sayago,Bermillo de Sayago,0.009028056752328094,0.050505050505050504,83,50
cyl,Briviesca,Briviesca,0.013569201301740467,0.03195217480931766,76,61
cyl,Burgo de Osma-Ciudad de Osma,Burgo de Osma-Ciudad de Osma,0.06951349696101868,0.06885178313749742,31,41
cyl,Burgos,Burgos,0.11983971753493619,0.06823335394763966,12,42
cyl,Béjar,Béjar,0.006886323081892218,0.013811585240156668,87,78
cyl,Campaspero,Campaspero,0.14870316102586972,0.16841888270459698,6,2
cyl,Candeleda,Candeleda,0.0,0.013193156050298907,93,81
cyl,Cantalejo,Cantalejo,0.0931762660254255,0.05483405483405483,19,48
cyl,Carbonero el Mayor,Carbonero el Mayor,0.1587264195829838,0.10513296227581942,5,23
cyl,Carpio,Carpio,0.05784303077578505,0.12595341166769738,36,14
cyl,Carrión de los Condes,Carrión de los Condes,0.04320726621937857,0.05689548546691404,42,47
cyl,Cebreros,Cebreros,0.028157188873135335,0.052360338074623786,49,49
cyl,Cervera de Pisuerga,Cervera de Pisuerga,0.006886476542066051,0.016491445062873634,86,74
cyl,Ciudad Rodrigo,Ciudad Rodrigo,0.010425500800290212,0.01566687280972995,81,76
cyl,Cubillos del Sil,Cubillos del Sil,0.019377447948876518,0.07668521954236239,62,36
cyl,Duruelo de la Sierra,Duruelo de la Sierra,0.046473387930188036,0.032158317872603585,39,60
cyl,Espinar (El),Espinar (El),0.08787488167754105,0.08018965161822304,21,33
cyl,Fermoselle,Fermoselle,0.010709667335253005,0.03504432075860647,80,58
cyl,Folgoso de la Ribera,Folgoso de la Ribera,0.13275613275613274,0.13275613275613274,10,12
